Uuid,Void/Retire,Concept,Member,Member Type,Sort Weight
c5524919-b7f4-4e91-b81b-a3f20b8c150c,,Medical Supply Items,Condoms (Male),CONCEPT-SET,1
e3cd9376-ee16-42f4-be7a-6efdca0cddc3,,Medical Supply Items,Absorbable Gelatin Sponge (Medical Supply),CONCEPT-SET,2
de695f1b-b2f0-4707-b62e-0eef48500a9e,,Medical Supply Items,Condoms (Female),CONCEPT-SET,3
143b2102-fe94-47c7-b6da-b3df2678d701,,Medical Supply Items,Centrifuge Tube 50ml,CONCEPT-SET,4
959d6948-f48e-403d-a73a-b3cf9e0967aa,,Medical Supply Items,Pipette Multi Channel,CONCEPT-SET,5
b4407ff1-7798-408b-981a-2487bffd3887,,Medical Supply Items,Thermal Paper,CONCEPT-SET,6
52de7c68-2b5b-4ec0-8153-54118cc50d6c,,Medical Supply Items,"Pasteur Pipette 3 ml, graduated",CONCEPT-SET,7
fdf9a9f6-41ea-4f5e-b96a-131dc0d93eb5,,Medical Supply Items,Urine Collecting Bag Pieces,CONCEPT-SET,8
256ee784-8fd9-4f51-9b9a-7e205c402a03,,Medical Supply Items,Apron Cotton,CONCEPT-SET,9
6229fbef-301d-4212-b7b8-2427e5a7f844,,Medical Supply Items,Disposable Syringe 2ml with needle 21G,CONCEPT-SET,10
7ddc0589-c19e-4672-a78a-5f280cb8470f,,Medical Supply Items,Disposable Syringe 5ml with needle 21G,CONCEPT-SET,11
ef6588a5-8dc8-406f-a81d-d84596d5009a,,Medical Supply Items,Examination Glove Latex Medium Size,CONCEPT-SET,12
21433de4-3597-45e9-aefd-9b8374217868,,Medical Supply Items,Gauze Bandage 7.5cm x 5m,CONCEPT-SET,13
86ec7b1a-83f0-422e-807c-c7e60c36c064,,Medical Supply Items,Incinerator Plastic Bin of 22 Liter,CONCEPT-SET,14
6126bf2c-99b9-4c07-bb81-2e70965b6bd0,,Medical Supply Items,Safety Box,CONCEPT-SET,15
1d042e65-a930-4f96-af12-d00093fa367f,,Medical Supply Items,Surgical Glove Sterial Latex No. 7.5,CONCEPT-SET,16
81c8e9b5-b169-4ed9-9c86-566426767e24,,Medical Supply Items,Biohazard Bags 8x12,CONCEPT-SET,17
36c43e8c-ae02-4595-a80e-0a700aec822c,,Medical Supply Items,Heavy Duty Glove large,CONCEPT-SET,18
